PRODUCT_ID |PRODUCT_NAME                                                                                                                                                                                                                                                   |DESCRIPTION                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |STANDARD_COST|LIST_PRICE |CATEGORY_ID
        128|Kingston                                                                                                                                                                                                                                                       |Speed:DDR4-2133,Type:288-pin DIMM,CAS:15Module:4x16GBSize:64GB                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |       650.00|     741.00|          5
        129|Corsair Vengeance LPX                                                                                                                                                                                                                                          |Speed:DDR4-3333,Type:288-pin DIMM,CAS:15Module:4x16GBSize:64GB                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |       609.00|     734.00|          5
        130|Western Digital WD2003FZEX                                                                                                                                                                                                                                     |Series:BLACK SERIES,Type:7200RPM,Capacity:2TB,Cache:64MB                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |        91.00|     117.00|          5
        131|Samsung MZ-V6P512BW                                                                                                                                                                                                                                            |Series:960 PRO,Type:SSD,Capacity:512GB,Cache:512MB                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |       223.00|     279.00|          5
        132|Intel Core i7-5930K                                                                                                                                                                                                                                            |Speed:3.5GHz,Cores:6,TDP:140W                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |       481.00|     554.00|          1
        133|PNY VCQP6000-PB                                                                                                                                                                                                                                                |Chipset:Quadro P6000,Memory:24GBCore Clock:1.42GHz                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |      4058.00|    5499.00|          2
        134|Asus Sabertooth 990FX                                                                                                                                                                                                                                          |CPU:AM3+,Form Factor:ATX,RAM Slots:4,Max RAM:32GB                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |       252.00|     295.00|          4
        135|Samsung MZ-V6E250                                                                                                                                                                                                                                              |Series:960 EVO,Type:SSD,Capacity:250GB,Cache:512MB                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |        92.00|     127.00|          5
        136|AMD Opteron 6378                                                                                                                                                                                                                                               |Speed:2.4GHz,Cores:16,TDP:115W                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |       651.00|     826.00|          1
        137|Asus Z10PE-D16 WS                                                                                                                                                                                                                                              |CPU:LGA2011-3 x 2,Form Factor:SSI EEB,RAM Slots:16,Max RAM:1TB                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |       332.00|     469.00|          4
        138|G.Skill Ripjaws V Series                                                                                                                                                                                                                                       |Speed:DDR4-3000,Type:288-pin DIMM,CAS:14Module:4x16GBSize:64GB                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |       499.00|     645.00|          5
        139|Hitachi HUS724030ALE641                                                                                                                                                                                                                                        |Series:Ultrastar 7K4000,Type:7200RPM,Capacity:3TB,Cache:64MB                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |        54.00|      65.00|          5
        140|MSI X99A WORKSTATION                                                                                                                                                                                                                                           |CPU:LGA2011-3,Form Factor:ATX,RAM Slots:8,Max RAM:128GB                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |       239.00|     289.00|          4
        141|Supermicro X11SSL-CF                                                                                                                                                                                                                                           |CPU:LGA1151,Form Factor:Micro ATX,RAM Slots:4,Max RAM:64GB                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |       317.00|     419.00|          4
        142|AMD FirePro W9100                                                                                                                                                                                                                                              |Chipset:FirePro W9100,Memory:16GBCore Clock:930MHz                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |      2483.00|    2998.00|          2
        143|Asus Z10PE-D16                                                                                                                                                                                                                                                 |CPU:LGA2011-3 Narrow x 2,Form Factor:SSI EEB,RAM Slots:16,Max RAM:1TB                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |       293.00|     402.00|          4
        144|Intel DG43RK                                                                                                                                                                                                                                                   |CPU:LGA775,Form Factor:Micro ATX,RAM Slots:4,Max RAM:8GB                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |       219.00|     289.00|          4
        145|Asus VANGUARD B85                                                                                                                                                                                                                                              |CPU:LGA1150,Form Factor:Micro ATX,RAM Slots:4,Max RAM:32GB                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |       258.00|     287.00|          4
        146|EVGA Z270 Classified K                                                                                                                                                                                                                                         |CPU:LGA1151,Form Factor:EATX,RAM Slots:4,Max RAM:64GB                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |       234.00|     283.00|          4
        147|EVGA Classified                                                                                                                                                                                                                                                |CPU:LGA2011-3,Form Factor:EATX,RAM Slots:8,Max RAM:128GB                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |       240.00|     283.00|          4
